Port,Count
no_port,32
DERSK,31
DECKL,32
DKAAB,21
DKROD,17
DKEBJ,30
DEHTU,30
DKHOR,23
DKGRE,20
DKCPH,28
DKVOR,32
SEGOT,29
DKTYB,21
DKSSV,11
DKLIN,11
SEHAD,20
SEHEL,30
SEMMA,28
DKSKA,18
SEKAN,15
DKFAK,15
DKKOG,24
DKHVS,16
DKAAR,26
DKFDV,25
SEFAG,20
DKKAL,27
SESOL,5
DKVEJ,23
DEBRV,8
DKAAL,22
DEHUS,15
DKHLS,2
SEVAG,23
DKODE,9
DKFDH,20
DEFLF,14
DKNAK,18
DEECK,12
DKHUN,14
DKHAS,3
DKRNN,16
DKKRR,16
DKFRC,24
DKSVE,25
SELAA,22
DKHAN,7
DEHHF,8
PLSWI,11
DKFAA,5
DEKEL,13
DKNVD,7
NOKRS,3
DEWVN,6
DKKOL,17
DKRAN,20
DKGFH,7
DKSTP,7
DKHIR,16
SEBRO,7
SESTE,4
DKENS,11
DKFDS,4
DKASN,10
NOBVK,2
DKLHH,8
DKNYF,4
DKAVN,8
DEHAM,5
DEWAR,16
DKKBK,2
DKHON,3
DKSBK,1
SEKLR,2
DEEME,1
DKSOB,6
SETRG,11
DKNBG,3
DKMID,1
NOFAN,3
DKMRS,4
DESTL,4
DETRV,6
DEWIS,6
NOREK,1
DKARK,2
DECUX,6
DKDRA,3
NOMAN,2
DEOSR,10
DKSIT,1
SEAHU,8
DKNYM,4
DKSGD,6
DKBDX,2
DKBAG,4
SESIM,2
SEYST,8
DKSKV,2
SEHOG,5
DEBKE,1
NOKRA,4
SEDON,1
NOLAR,2
DKRKB,2
DKGLE,3
DKTUB,3
DEBRE,2
DELBC,2
DKSTB,1
DKHBO,1
DKDAS,2
DEBXN,1
PLUST,1
DKHVN,1
DEREN,2
DKFUH,1
DEBUZ,1
